"Order","Family","Genus","Species","spawningMode","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnSize","lnEggSize","absLatitude"
"Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","pelagic",NA,"",0.89,"",NA,"South-west coast of the Isle of Man","1993 July","",TRUE,FALSE,54.090349,-4.802769,"bal_dv_1943_j11b_54.pdf",NA,-0.116533816255952,54.090349
"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","pelagic",NA,"",0.84,"",NA,"Long Island Sound USA","1952 March - 1954 March","",TRUE,FALSE,41.103919,-72.908416,"wheatland_sb_1956_b15_234.pdf",NA,-0.174353387144778,41.103919
"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","pelagic",NA,"",0.7,"Field",NA,"Off Beaufort, NC, USA","1913 June - August","",FALSE,TRUE,34.685104,-76.675192,"kuntz_a_1913_b33_1.pdf",NA,-0.356674943938732,34.685104
"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","pelagic",NA,"",0.86,"",NA,"Long Island Sound USA","1954 July - August","854",TRUE,TRUE,41.103919,-72.908416,"richards_sw_1959_b17_95.pdf",NA,-0.150822889734584,41.103919
"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","pelagic",NA,"",0.875,"",NA,"Long Island Sound USA","1955 June - August","1377",TRUE,TRUE,41.103919,-72.908416,"richards_sw_1959_b17_95.pdf",NA,-0.133531392624523,41.103919
"Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","pelagic",NA,"",1.166,"",NA,"Gulf of Panama, Panama","1956 September - 1957 January","",TRUE,TRUE,8.780003,-78.874387,"simpson_jg_1959_i3_441.pdf",NA,0.153579087928301,8.780003
"Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","pelagic",NA,"",1.151,"",NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela","1956 October","60",TRUE,TRUE,12.415685,-71.832644,"simpson_jg_1959_i3_441.pdf",NA,0.140631129739746,12.415685
"Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","pelagic",NA,"",1.129,"",NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela","1956 October","54",TRUE,TRUE,12.415685,-71.832644,"simpson_jg_1959_i3_441.pdf",NA,0.121332285167525,12.415685
"Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","pelagic",NA,"",1.146,"",NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela","1956 October","59",TRUE,TRUE,12.415685,-71.832644,"simpson_jg_1959_i3_441.pdf",NA,0.136277618292548,12.415685
"Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","pelagic",NA,"",1.148,"",NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela","1956 October","50",TRUE,TRUE,12.415685,-71.832644,"simpson_jg_1959_i3_441.pdf",NA,0.138021297897375,12.415685
"Clupeiformes","Engraulidae","Cetengraulis","Cetengraulis mysticetus","pelagic",NA,"",1.159,"",NA,"Isla Chepillo, Panama to Punta Mangle, Venezuela","1956 October","75",TRUE,TRUE,12.415685,-71.832644,"simpson_jg_1959_i3_441.pdf",NA,0.147557564357615,12.415685
